Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Acc X,Acc Y,Acc Z,Vel X,Vel Y,Vel Z,DIsp X,Disp Y,Disp Z
0.016714,0.01791,0.003251,-0.009512,-0.012417,0.996505,0.126606,0.131607,0,0.002374,0.02901,0,14.6961,27.289,6.9e-05
0.004991,0.013995,0.000809,-0.009508,-0.012408,0.996505,0.098437,0,0,0.0042,0.02872,0,14.6962,27.2896,6.9e-05
0.003525,0.008377,0.005448,-0.009507,-0.012406,0.996505,0,0,0,0.004158,0,0,14.6963,27.2896,6.9e-05
0.012068,0.004957,0.000809,-0.009504,-0.012403,0.996505,0,0.146854,0,0,0.002749,0,14.6963,27.2896,6.9e-05
0.007191,0.010813,-0.00212,-0.00951,-0.0124,0.996505,0,0.152871,0,0,0.005588,0,14.6963,27.2897,6.9e-05
0.011093,0.020576,0.00911,-0.009506,-0.012397,0.996505,0,0.168483,0,0,0.008705,0,14.6963,27.2899,6.9e-05
0.011088,0.020324,-0.0009,-0.009501,-0.012389,0.996505,0.115942,0.145597,0,0.002173,0.011346,0,14.6963,27.2901,6.9e-05
0.010596,0.014452,0.011307,-0.009497,-0.012376,0.996506,0,0.132149,0,0.002151,0.013728,0,14.6963,27.2904,6.9e-05
0.0123,0.014192,0.004471,-0.009493,-0.012361,0.996506,0,0,0,0,0.01359,0,14.6963,27.2906,6.9e-05
0.008644,0.006869,0.005936,-0.009498,-0.012362,0.996506,0,0,0,0,0,0,14.6963,27.2906,6.9e-05
0.014986,0.006633,-0.001144,-0.009493,-0.01237,0.996506,0.109029,0,0,0.002039,0,0,14.6964,27.2906,6.9e-05
0.005959,0.010784,0.011063,-0.009499,-0.012371,0.996506,0,0.126552,0,0.002019,0.002384,0,14.6964,27.2907,6.9e-05
0.014988,0.013958,-0.003097,-0.009495,-0.012371,0.996506,0,0.149369,0,0,0.005164,0,14.6964,27.2908,6.9e-05
0.012049,0.012984,-0.003586,-0.009486,-0.012374,0.996506,0,0.119438,0,0,0.007363,0,14.6964,27.2909,6.9e-05
0.004003,0.014193,0.002762,-0.009496,-0.012362,0.996506,0,0.11756,0,0,0.009503,0,14.6964,27.2911,6.9e-05
0.011323,0.0137,0.006668,-0.009492,-0.012358,0.996506,0,0,0,0,0.009408,0,14.6964,27.2913,6.9e-05
0.015232,0.008088,-0.001388,-0.009495,-0.01236,0.996506,0.123483,0,0,0.002312,0,0,14.6965,27.2913,6.9e-05
0.00839,0.002477,0.008133,-0.009489,-0.012365,0.996506,0.116807,0,0,0.004489,0,0,14.6966,27.2913,6.9e-05
0.013274,0.005661,0.008621,-0.00949,-0.012375,0.996506,0.129142,0.120669,0,0.006865,0.002261,0,14.6967,27.2913,6.9e-05
0.003514,0.006399,0.00325,-0.009496,-0.012381,0.996506,0,0.162504,0,0.006796,0.005294,0,14.6968,27.2914,6.9e-05
0.010853,0.00786,7.7e-05,-0.009511,-0.012376,0.996505,0,0.150968,0,0,0.008075,0,14.6968,27.2916,6.9e-05
0.007186,0.013718,0.008377,-0.009506,-0.012375,0.996505,0,0.159174,0,0,0.010977,0,14.6968,27.2918,6.9e-05
0.007667,0.017623,0.002762,-0.009498,-0.012374,0.996506,0,0.126233,0,0,0.013234,0,14.6968,27.292,6.9e-05
0.005224,0.016144,0.006424,-0.009496,-0.01236,0.996506,0.107173,0.12732,0,0.00201,0.015489,0,14.6969,27.2923,6.9e-05
0.005712,0.014434,0.002029,-0.009496,-0.012359,0.996506,0.11071,0,0,0.00407,0.015334,0,14.6969,27.2926,6.9e-05
0.005719,0.011987,0.002029,-0.009503,-0.012353,0.996506,0,0.134213,0,0.004029,0.0177,0,14.697,27.293,6.9e-05
0.008164,0.012231,0.004715,-0.009507,-0.012353,0.996506,0,0.110119,0,0,0.01959,0,14.697,27.2933,6.9e-05
0.015738,0.012956,0.012039,-0.009512,-0.012346,0.996506,0,0.120455,0,0,0.021653,0,14.697,27.2938,6.9e-05
0.007438,0.007098,0.010818,-0.009513,-0.012347,0.996506,0.125226,0.114044,0,0.002348,0.023575,0,14.6971,27.2942,6.9e-05
0.015013,0.012708,0.002029,-0.00952,-0.012342,0.996506,0.116505,0.115518,0,0.004515,0.025511,0,14.6971,27.2947,6.9e-05
0.010618,0.01368,0.013992,-0.009519,-0.012337,0.996506,0,0.123207,0,0.00447,0.027571,0,14.6972,27.2952,6.9e-05
0.004771,0.014408,0.00911,-0.009531,-0.012333,0.996506,0,0.106017,0,0,0.029285,0,14.6972,27.2958,6.9e-05
0.002333,0.009283,0.007645,-0.009535,-0.012334,0.996506,0.101747,0.110353,0,0.001907,0.03106,0,14.6973,27.2964,6.9e-05
0.006726,0.009768,0.003494,-0.009534,-0.012332,0.996506,0.11117,0.102379,0,0.003977,0.032673,0,14.6973,27.297,6.9e-05
0.010146,0.011468,0.004959,-0.009536,-0.012323,0.996506,0.107259,0.1124,0,0.005952,0.034459,0,14.6975,27.2977,6.9e-05
0.007214,0.009022,0.004959,-0.009533,-0.012318,0.996506,0,0.11128,0,0.005893,0.036206,0,14.6976,27.2984,6.9e-05
0.008924,0.017559,-0.002121,-0.009534,-0.01231,0.996506,0,0.107043,0,0,0.037853,0,14.6976,27.2991,6.9e-05
0.012836,0.010233,-0.002121,-0.00954,-0.012308,0.996506,0,0.108045,0,0,0.03951,0,14.6976,27.2998,6.9e-05
0.006498,0.010966,0.002518,-0.00955,-0.012309,0.996506,0,0.118856,0,0,0.041354,0,14.6976,27.3006,6.9e-05
0.010648,0.006574,0.0074,-0.009549,-0.012311,0.996506,0.127177,0.113884,0,0.002385,0.043076,0,14.6976,27.3015,6.9e-05
0.007228,0.020001,0.011795,-0.009548,-0.012311,0.996506,0,0.16124,0,0.002361,0.045677,0,14.6977,27.3023,6.9e-05
0.01699,0.016821,-0.000168,-0.009543,-0.012304,0.996506,0.127427,0.142408,0,0.004729,0.047893,0,14.6977,27.3033,6.9e-05
0.006259,0.011436,0.000808,-0.009555,-0.01229,0.996506,0,0.117286,0,0.004682,0.04963,0,14.6978,27.3042,6.9e-05
0.010661,0.014113,0.004715,-0.009562,-0.012282,0.996506,0,0,0,0,0.049133,0,14.6978,27.3052,6.9e-05
0.007236,0.009468,-0.000412,-0.009555,-0.012276,0.996506,0,0,0,0,0,0,14.6978,27.3052,6.9e-05
0.00919,0.008979,0.005203,-0.009556,-0.012275,0.996506,0,0.120329,0,0,0.00226,0,14.6978,27.3052,6.9e-05
0.006261,0.013132,0.005935,-0.009557,-0.012277,0.996506,0.125044,0.133557,0,0.002343,0.00474,0,14.6979,27.3053,6.9e-05
0.008707,0.008004,0.003494,-0.009561,-0.012276,0.996506,0,0.101589,0,0.00232,0.006602,0,14.6979,27.3054,6.9e-05
0.010902,0.017269,0.000564,-0.009559,-0.012264,0.996506,0,0.162792,0,0,0.009591,0,14.6979,27.3056,6.9e-05
0.003328,0.011166,-0.001389,-0.009554,-0.012265,0.996506,0,0.132358,0,0,0.011977,0,14.6979,27.3058,6.9e-05
0.008456,0.017994,0.004958,-0.009554,-0.012256,0.996506,0.101646,0.118866,0,0.001915,0.014097,0,14.698,27.3061,6.9e-05
0.005762,0.011643,0.00447,-0.009546,-0.012254,0.996507,0.10126,0,0,0.003799,0.013956,0,14.698,27.3064,6.9e-05
0.012603,0.01506,0.004226,-0.009551,-0.012252,0.996507,0.121095,0.102771,0,0.006034,0.015745,0,14.6982,27.3067,6.9e-05
0.015291,0.011892,-0.001389,-0.009553,-0.012259,0.996506,0,0.124708,0,0.005973,0.017932,0,14.6983,27.307,6.9e-05
0.006993,0.006524,0.002761,-0.009556,-0.012261,0.996506,0,0.126171,0,0,0.020134,0,14.6983,27.3074,6.9e-05
0.00894,0.01531,0.003005,-0.009551,-0.012258,0.996507,0,0.115129,0,0,0.022091,0,14.6983,27.3078,6.9e-05
0.009431,0.012857,0.006667,-0.009553,-0.012246,0.996507,0.103481,0.127625,0,0.001939,0.024262,0,14.6983,27.3083,6.9e-05
0.009429,0.015535,0.003249,-0.009551,-0.012239,0.996507,0,0,0,0.00192,0.02402,0,14.6983,27.3087,6.9e-05
0.005512,0.009919,-0.002855,-0.00954,-0.012238,0.996507,0.101286,0,0,0.0038,0,0,14.6984,27.3087,6.9e-05
0.012099,0.01358,-0.001146,-0.009535,-0.012237,0.996507,0,0.09838,0,0.003762,0.001852,0,14.6985,27.3088,6.9e-05
0.005999,0.00918,0.000319,-0.009539,-0.012231,0.996507,0,0,0,0,0.001834,0,14.6985,27.3088,6.9e-05
0.004542,0.009912,0.004226,-0.009546,-0.012231,0.996507,0,0.166612,0,0,0.004935,0,14.6985,27.3089,6.9e-05
0.00894,0.013821,0.002028,-0.009551,-0.012234,0.996507,0.10969,0.159447,0,0.002056,0.007874,0,14.6985,27.3091,6.9e-05
0.007473,0.015037,0.000319,-0.009549,-0.012229,0.996507,0,0.131516,0,0.002035,0.010266,0,14.6986,27.3093,6.9e-05
0.011624,0.012582,0.002761,-0.009549,-0.012216,0.996507,0,0.127784,0,0,0.012563,0,14.6986,27.3095,6.9e-05
0.00943,0.011115,0.006423,-0.009552,-0.012213,0.996507,0,0.109464,0,0,0.01449,0,14.6986,27.3098,6.9e-05
0.0126,0.012088,-0.001146,-0.009548,-0.01221,0.996507,0.105025,0,0,0.001969,0.014345,0,14.6986,27.3101,6.9e-05
0.01114,0.005982,-0.000413,-0.009553,-0.012208,0.996507,0,0,0,0.00195,0,0,14.6986,27.3101,6.9e-05
0.008935,0.000377,0.004958,-0.009545,-0.012218,0.996507,0,0.127845,0,0,0.002403,0,14.6986,27.3101,6.9e-05
0.017965,0.01551,0.002272,-0.009542,-0.012214,0.996507,0.114565,0.165516,0,0.002147,0.005481,0,14.6987,27.3102,6.9e-05
0.016981,0.006475,0.007399,-0.009534,-0.012213,0.996507,0.119517,0,0,0.004371,0.005427,0,14.6988,27.3103,6.9e-05
0.008683,0.011837,0.006911,-0.009537,-0.012204,0.996507,0,0,0,0.004328,0,0,14.6988,27.3103,6.9e-05
0.011123,0.004503,-0.000902,-0.009536,-0.012193,0.996508,0,0,0,0,0,0,14.6988,27.3103,6.9e-05
0.004532,0.003045,0.003004,-0.009537,-0.012201,0.996507,0,0.125302,0,0,0.002353,0,14.6988,27.3104,6.9e-05
0.015766,0.005006,0.006667,-0.009541,-0.012208,0.996507,0,0.134706,0,0,0.004854,0,14.6988,27.3104,6.9e-05
0.009428,0.006484,0.002516,-0.00955,-0.012221,0.996507,0,0.191299,0,0,0.008391,0,14.6988,27.3106,6.9e-05
0.014316,0.02577,-0.002855,-0.009555,-0.01222,0.996507,0.140927,0.277149,0,0.002642,0.013504,0,14.6989,27.3109,6.9e-05
0.003098,0.023808,-0.00139,-0.009568,-0.012211,0.996507,0.123751,0.174858,0,0.004954,0.016671,0,14.699,27.3112,6.9e-05
-0.004461,0.029902,-0.000169,-0.009577,-0.012202,0.996507,0,0.234954,0,0.004904,0.02094,0,14.6991,27.3116,6.9e-05
0.011884,0.019637,0.006178,-0.009565,-0.012191,0.996507,0,0.13607,0,0,0.023308,0,14.6991,27.312,6.9e-05
0.002859,0.020842,0.001539,-0.009573,-0.012175,0.996508,0,0.130173,0,0,0.025516,0,14.6991,27.3125,6.9e-05
0.000913,0.016433,-0.001878,-0.00958,-0.012161,0.996507,0,0,0,0,0.025261,0,14.6991,27.313,6.9e-05
0.009442,0.017149,0.004224,-0.009564,-0.012144,0.996508,0.114146,0,0,0.002147,0,0,14.6991,27.313,6.9e-05
0.011885,0.013232,0.007154,-0.009566,-0.012134,0.996508,0.121304,0,0,0.0044,0,0,14.6992,27.313,6.9e-05
0.007241,0.00566,0.008131,-0.009561,-0.01213,0.996508,0,0,0,0.004356,0,0,14.6993,27.313,6.9e-05
0.006498,0.009081,0.012037,-0.00955,-0.012132,0.996508,0,0,0,0,0,0,14.6993,27.313,6.9e-05
0.011136,0.002007,0.004469,-0.009549,-0.012139,0.996508,0.099341,0,0,0.001857,0,0,14.6993,27.313,6.9e-05
0.009177,0.002019,0.00276,-0.009543,-0.012151,0.996508,0,0.102515,0,0.001838,0.001922,0,14.6994,27.313,6.9e-05
0.007231,0.004225,0.007398,-0.00955,-0.012159,0.996508,0,0.134286,0,0,0.004424,0,14.6994,27.3131,6.9e-05
0.001622,0.012529,7.4e-05,-0.009557,-0.012163,0.996508,0,0.179473,0,0,0.007743,0,14.6994,27.3133,6.9e-05
0.008457,0.021069,0.006178,-0.009555,-0.012158,0.996508,0.103397,0.186004,0,0.001938,0.011151,0,14.6994,27.3135,6.9e-05
0.00382,0.021546,0.011793,-0.009557,-0.012146,0.996508,0,0.142996,0,0.001918,0.013727,0,14.6994,27.3138,6.9e-05
0.008699,0.017378,0.003736,-0.009553,-0.012129,0.996508,0,0,0,0,0.013589,0,14.6994,27.314,6.9e-05
0.013335,0.013953,0.004224,-0.009551,-0.012122,0.996508,0,0,0,0,0,0,14.6994,27.314,6.9e-05
0.007227,0.01078,0.003736,-0.009546,-0.012122,0.996508,0,0,0,0,0,0,14.6994,27.314,6.9e-05
0.009666,0.003941,0.005201,-0.009544,-0.01212,0.996508,0,0.10052,0,0,0.001879,0,14.6994,27.314,6.9e-05
0.006242,0.008832,0.010084,-0.009538,-0.012128,0.996508,0,0.114703,0,0,0.004011,0,14.6994,27.3141,6.9e-05
0.016009,0.010297,0.007886,-0.009539,-0.012128,0.996508,0.128979,0.162822,0,0.002418,0.007024,0,14.6995,27.3143,6.9e-05
0.014785,0.011272,0.007154,-0.009536,-0.012127,0.996508,0,0.152469,0,0.002394,0.009818,0,14.6995,27.3144,6.9e-05
0.006489,0.009067,-0.000415,-0.00954,-0.012119,0.996508,0,0.133784,0,0,0.012231,0,14.6995,27.3147,6.9e-05
0.006725,0.019309,0.002515,-0.009532,-0.012107,0.996508,0.104778,0.10569,0,0.001974,0.0141,0,14.6996,27.315,6.9e-05
0.01136,0.0149,0.003491,-0.009529,-0.012093,0.996509,0,0.113304,0,0.001954,0.016088,0,14.6996,27.3153,6.9e-05
0.010871,0.010503,0.001294,-0.009528,-0.01209,0.996509,0,0,0,0,0.015927,0,14.6996,27.3156,6.9e-05
0.006712,0.006105,-0.000171,-0.009519,-0.012086,0.996509,0.103615,0,0,0.001941,0,0,14.6996,27.3156,6.9e-05
0.008914,0.006578,0.012036,-0.009524,-0.012071,0.996509,0,0.111677,0,0.001921,0.002103,0,14.6997,27.3156,6.9e-05
0.005506,0.014634,0.012524,-0.009534,-0.01207,0.996509,0.098038,0.116259,0,0.003742,0.004264,0,14.6998,27.3157,6.9e-05
0.005016,0.014873,-0.000659,-0.009532,-0.012065,0.996509,0.106139,0.137553,0,0.005699,0.006806,0,14.6999,27.3158,6.9e-05
0.0077,0.012426,-0.000904,-0.009531,-0.01206,0.996509,0.098484,0.11589,0,0.007502,0.008926,0,14.7,27.316,6.9e-05
0.005989,0.014613,0.001782,-0.009529,-0.01205,0.996509,0,0.110626,0,0.007427,0.010924,0,14.7002,27.3162,6.9e-05
0.011109,0.011682,0.010571,-0.009522,-0.012048,0.996509,0,0,0,0,0.010815,0,14.7002,27.3164,6.9e-05
0.008415,0.006555,0.001782,-0.009514,-0.012049,0.996509,0,0,0,0,0,0,14.7002,27.3164,6.9e-05
0.004014,0.012909,0.000561,-0.009507,-0.012054,0.996509,0,0,0,0,0,0,14.7002,27.3164,6.9e-05
0.011588,0.016073,0.009594,-0.009513,-0.012045,0.99651,0,0.14234,0,0,0.00266,0,14.7002,27.3165,6.9e-05
0.008164,0.01704,0.002026,-0.009507,-0.012035,0.99651,0,0.141608,0,0,0.005289,0,14.7002,27.3166,6.9e-05
0.018663,0.014594,0.008617,-0.009508,-0.01203,0.99651,0.130838,0.161205,0,0.002452,0.008257,0,14.7002,27.3167,6.9e-05
0.008652,0.015568,0.010326,-0.009507,-0.012028,0.99651,0,0.111067,0,0.002427,0.010263,0,14.7002,27.3169,6.9e-05
0.010112,0.010438,0.003978,-0.009502,-0.012025,0.99651,0.100425,0,0,0.004288,0.01016,0,14.7003,27.3171,6.9e-05
0.004006,0.009704,0.001781,-0.009499,-0.012023,0.99651,0,0,0,0.004245,0,0,14.7004,27.3171,6.9e-05
0.001084,0.009218,-0.006519,-0.009507,-0.012026,0.99651,0,0.135135,0,0,0.00253,0,14.7004,27.3172,6.9e-05
0.012807,0.01411,0.010815,-0.009511,-0.012035,0.99651,0.107517,0.158603,0,0.002025,0.005491,0,14.7004,27.3173,6.9e-05
0.014514,0.017776,0.007153,-0.009509,-0.012038,0.99651,0,0.164745,0,0.002004,0.008532,0,14.7005,27.3174,6.9e-05
0.009632,0.016546,0.012279,-0.00951,-0.012029,0.99651,0.129495,0.122614,0,0.004415,0.010748,0,14.7006,27.3176,6.9e-05
0.013054,0.013848,-0.009937,-0.009514,-0.012016,0.99651,0.125883,0.116897,0,0.006737,0.012838,0,14.7007,27.3179,6.9e-05
-0.000606,0.006283,-0.011891,-0.009526,-0.012021,0.99651,0,0,0,0.00667,0.01271,0,14.7008,27.3181,6.9e-05
0.007438,0.006523,-0.002369,-0.009514,-0.012016,0.99651,0,0.102618,0,0,0.014524,0,14.7008,27.3184,6.9e-05
0.018654,0.007738,0.006664,-0.009499,-0.01201,0.99651,0,0,0,0,0.014379,0,14.7008,27.3187,6.9e-05
0.008881,0.013843,0.006908,-0.009491,-0.012012,0.99651,0.157781,0.133597,0,0.002955,0.016737,0,14.7009,27.319,6.9e-05
0.00302,0.008951,0.013988,-0.00949,-0.012002,0.99651,0.12259,0.118383,0,0.005229,0.018794,0,14.701,27.3194,6.9e-05
0.008884,0.013833,0.002513,-0.009494,-0.012001,0.99651,0,0.194508,0,0.005177,0.022263,0,14.7011,27.3198,6.9e-05
0.012796,0.017984,-0.007496,-0.0095,-0.012003,0.99651,0.124414,0.181449,0,0.007462,0.025448,0,14.7012,27.3203,6.9e-05
0.004021,0.019441,0.000804,-0.009514,-0.011994,0.99651,0,0.12654,0,0.007387,0.027584,0,14.7014,27.3208,6.9e-05
0.008164,0.017959,0.007152,-0.009507,-0.011977,0.99651,0,0,0,0,0.027308,0,14.7014,27.3213,6.9e-05
0.012064,0.012583,0.003734,-0.009501,-0.011973,0.99651,0.110469,0,0,0.002068,0,0,14.7014,27.3213,6.9e-05
0.007914,0.007947,0.00764,-0.009501,-0.011976,0.996511,0.121554,0,0,0.004327,0,0,14.7015,27.3213,6.9e-05
0.012793,0.010642,-0.004567,-0.009497,-0.011985,0.996511,0.111531,0,0,0.006374,0,0,14.7016,27.3213,6.9e-05
0.011315,-8.5e-05,0.003246,-0.009484,-0.012,0.99651,0.114472,0,0,0.008465,0,0,14.7018,27.3213,6.9e-05
0.00399,0.006751,-0.001393,-0.009483,-0.012,0.99651,0,0.171954,0,0.008381,0.003238,0,14.7019,27.3214,6.9e-05
0.001784,0.015302,0.001048,-0.009475,-0.012006,0.99651,0,0.142949,0,0,0.005901,0,14.7019,27.3215,6.9e-05
0.016186,0.015295,0.009349,-0.009472,-0.011999,0.99651,0.106518,0.159084,0,0.001996,0.008824,0,14.702,27.3217,6.9e-05
0.009353,0.016508,-0.003346,-0.009475,-0.011992,0.99651,0,0.141585,0,0.001976,0.011397,0,14.702,27.3219,6.9e-05
0.004221,0.012597,-0.001393,-0.00947,-0.011987,0.996511,0.110348,0.137863,0,0.004038,0.013883,0,14.7021,27.3222,6.9e-05
0.004945,0.011615,0.005442,-0.009462,-0.011982,0.996511,0.109981,0.120495,0,0.006075,0.016021,0,14.7022,27.3225,6.9e-05
0.00764,0.010628,0.000315,-0.009471,-0.01197,0.996511,0,0,0,0.006014,0.01586,0,14.7023,27.3228,6.9e-05
0.008365,0.008434,0.001292,-0.009463,-0.011974,0.996511,0,0.142027,0,0,0.018363,0,14.7023,27.3231,6.9e-05
0.014712,0.0265,0.004466,-0.009463,-0.011974,0.996511,0.157088,0.188411,0,0.002944,0.021711,0,14.7024,27.3235,6.9e-05
0.00691,0.030384,-0.002126,-0.009473,-0.011951,0.996511,0.17382,0.157428,0,0.006181,0.024452,0,14.7025,27.324,6.9e-05
-0.000161,0.019612,0.009836,-0.009482,-0.011922,0.996511,0,0,0,0.006119,0.024207,0,14.7026,27.3245,6.9e-05
0.012028,0.007143,0.011301,-0.009464,-0.011904,0.996512,0,0,0,0,0,0,14.7026,27.3245,6.9e-05
0.003964,-0.001151,0.012033,-0.009457,-0.011911,0.996512,0,0,0,0,0,0,14.7026,27.3245,6.9e-05
0.012994,-0.011622,0.005686,-0.009454,-0.011938,0.996511,0,0,0,0,0,0,14.7026,27.3245,6.9e-05
0.006649,-0.013044,0.000315,-0.009457,-0.01198,0.996511,0,0,0,0,0,0,14.7026,27.3245,6.9e-05
0.011292,-0.009591,0.005443,-0.009461,-0.012016,0.99651,0.115508,0.142966,0,0.002169,0.002685,0,14.7027,27.3245,6.9e-05
0.004948,0.001909,0.005931,-0.009465,-0.01204,0.99651,0,0.202936,0,0.002148,0.006489,0,14.7027,27.3247,6.9e-05
